,source,author,title,description,url,urlToImage,publishedAt,content,category
name,The Hill,Rebecca Kheel,Navy hospital ship arrives in New York,"A U.S. Navy hospital ship arrived in New York harbor on Monday to help relieve local hospitals being overwhelmed by coronavirus patients.The USNS Comfort will treat non-coronavirus patients, freeing up beds so loca...",https://thehill.com/policy/defense/490136-navy-hospital-ship-arrives-in-new-york,https://thehill.com/sites/default/files/usnscomfort_032820getty.jpg,2020-03-30T14:41:02Z,"A U.S. Navy hospital ship arrived in New York harbor on Monday to help relieve local hospitals being overwhelmed by coronavirus patients.
The USNS Comfort will treat non-coronavirus patients, freeing up beds so local hospitals can focus on COVID-19.
LIVE: #… [+1408 chars]",GENERAL
name,The Hill,J. Edward Moreno,WHO warns more young people dying from coronavirus,"Officials from the World Health Organization (WHO) said Friday that they are seeing more cases of young people dying from the coronavirus. ""We are seeing more and more younger individuals who are exper...",https://thehill.com/policy/international/491041-who-we-are-seeing-data-that-more-young-people-are-dying-from-coronavirus,https://thehill.com/sites/default/files/coronavirus_2.jpg,2020-04-03T18:01:13Z,"Officials from the World Health Organization (WHO) said Friday that they are seeing more cases of young people dying from the coronavirus. 
We are seeing more and more younger individuals who are experiencing severe disease, Maria Van Kerkhove, head of WHOs … [+1713 chars]",SCIENCE
name,The Hill,J. Edward Moreno,NJ governor orders all flags across the state be lowered to half-staff indefinitely for lives lost to coronavirus,"New Jersey Gov. Phil Murphy (D) signed an executive order Friday directing all flags in the state to be lowered to half-staff ""indefinitely"" in honor of the lives lost during the coronavirus pandemic.",https://thehill.com/blogs/blog-briefing-room/491088-nj-gov-orders-all-flags-across-nj-be-lowered-to-half-staff,https://thehill.com/sites/default/files/murphyphil_02192019getty.jpg,2020-04-03T20:59:33Z,"New Jersey Gov. Phil Murphy (D) signed an executive order Friday directing all flags in the state to be lowered to half-staff indefinitely in honor of the lives lost during the coronavirus pandemic. 
This is one of the greatest tragedies to ever hit our stat… [+1287 chars]",POLITICS
name,The Hill,Marina Pitofsky,Florida reporter says she was blocked from Gov. DeSantis's coronavirus press briefing,"A Florida reporter in a bureau operated by two of the state's largest newspapers says she was denied access to a press conference given by Gov. Ron DeSantis (R) on coronavirus efforts in the state.Mary Ellen Klas,...",https://thehill.com/media/490026-florida-reporter-says-she-was-blocked-from-gov-desantis-press-briefing,https://thehill.com/sites/default/files/desantisron_120629getty.jpg,2020-03-29T02:36:23Z,A Florida reporter in a bureau operated by two of the states largest newspapers says she was denied access to a press conference given by Gov. Ron DeSantisRonald Dion DeSantis16 things to know for today about coronavirusFlorida governor announces mandatory 14… [+4773 chars],POLITICS
name,The Hill,Steve Clemons,The Hill's Coronavirus Report: NATO Deputy Secretary General Geoană says alliance must fight disinformation campaigns from bad actors; Senate to pass relief bill today,"Senate expected to pass relief bill today | Trump to sign executive order halting immigration to US | Maryland Gov. Larry Hogan buys 500,000 testing kits from South Korea, shrugs off Trump criticism | Georgia governor opening gyms, barber shops and massage es…",https://thehill.com/homenews/coronavirus-report/493942-coronavirus-daily-update,https://thehill.com/sites/default/files/coronavirus_report_graphic_8.jpg,2020-04-21T19:50:03Z,"VIEW BREAKING NEWS ON CORONAVIRUS 
WHAT YOU NEED TO KNOW TODAY 
&gt; Senate passage of relief bill expected today 
&gt; Trump to sign executive order halting immigration to U.S. 
&gt; Georgia set to reopen Friday; Atlanta mayor perplexed by move
&gt; WHO… [+18562 chars]",POLITICS
name,The Hill,Morgan Gstalter,Doctor who criticized hospital's measures against coronavirus is fired,A Washington state emergency room doctor who spoke out about what he called a lack of protective measures being implemented against the coronavirus at his hospital has been fired....,https://thehill.com/blogs/blog-briefing-room/news/489969-doctor-who-criticized-hospitals-measures-against-coronavirus-is,https://thehill.com/sites/default/files/linming_northerngripyoutube_03282020.png,2020-03-28T13:30:05Z,"A Washington state emergency room doctor who spoke out about what he called a lack of protective measures being implemented against the coronavirus at his hospital has been fired.
Dr. Ming Lin wrote in a Facebook post on Friday that he was terminated from hi… [+2717 chars]",GENERAL
name,The Hill,Morgan Gstalter,Michelle Obama encourages in-person Wisconsin voters to 'prioritize' safety,"Former first lady Michelle Obama on Tuesday encouraged Wisconsin residents to ""prioritize your safety and the safety of others"" if they are voting in person amid the ongoing coronavirus outbreak....",https://thehill.com/blogs/blog-briefing-room/news/491514-michelle-obama-encourages-in-person-wisconsin-voters-to,https://thehill.com/sites/default/files/obamamichelle_01072019getty.jpg,2020-04-07T14:03:20Z,Former first lady Michelle ObamaMichelle LeVaughn Robinson ObamaLizzo donates lunch to hospital workers battling coronavirusBiden could be picking the next president: VP choice more important than everLobbying worldMORE on Tuesday encouraged Wisconsin residen… [+3696 chars],POLITICS
name,The Hill,Rebecca Kheel,Space Force launches first mission,"The U.S. Space Force conducted its first launch Thursday, sending a military communications satellite into orbit.At 4:18 p.m., a United Launch Alliance (ULA) Atlas V rocket blasted the sixth Advanced Extremely High...",https://thehill.com/policy/defense/489743-space-force-launches-first-mission,https://thehill.com/sites/default/files/spaceforcelaunch_032620twitter_0.png,2020-03-26T21:18:51Z,"The U.S. Space Force conducted its first launch Thursday, sending a military communications satellite into orbit.
A United Launch Alliance (ULA) Atlas V rocket blasted the sixth Advanced Extremely High Frequency (AEHF) satellite into space from Cape Canavera… [+2393 chars]",SCIENCE
name,The Hill,Justine Coleman,Malaysian government warned women not to be 'sarcastic' to husbands during coronavirus lockdown,"The Malaysian government warned women not to be ""sarcastic"" to their husbands when asking them to help with household chores during coronavirus lockdowns, a request that sparked debate Tuesday.Ma...",https://thehill.com/policy/international/asia-pacific/490574-malaysian-government-warned-women-not-to-be-sarcastic-to,https://thehill.com/sites/default/files/20200401_malaysiacoronavirus_gettyimages.jpg,2020-04-01T15:38:28Z,"The Malaysian government warned women not to be sarcastic to their husbands when asking them to help with household chores during coronavirus lockdowns, a request that sparked debate Tuesday.
Malaysias Ministry for Women, Family and Community Development pro… [+2096 chars]",POLITICS
name,The Hill,Rebecca Klar,"Animal hospitals, vet schools send ventilators to hospitals amid shortages",Animal hospitals and veterinary schools are sending critically needed ventilators to hospitals facing supply shortages amid the coronavirus outbreak. Although the institutions use the equipment t...,https://thehill.com/blogs/blog-briefing-room/news/489558-animal-hospitals-vet-schools-send-ventilators-to-hospitals-amid,https://thehill.com/sites/default/files/ventilator_03202020getty.jpg,2020-03-25T22:07:16Z,"Animal hospitals and veterinary schools are sending critically needed ventilators to hospitals facing supply shortages amid the coronavirus outbreak. 
Although the institutions use the equipment to treat animals, vets say the ventilators they use are the sam… [+2478 chars]",GENERAL
