,category,predicted_category,text
0,GENERAL,name,navy hospital ship arrives new york u navy hospital ship arrived new york harbor monday help relieve local hospital overwhelmed coronavirus patientsthe usn comfort treat noncoronavirus patient freeing bed loca u navy hospital ship arrived new york harbor monday help relieve local hospital beingoverwhelmed coronavirus patientsthe usn comfort treat noncoronavirus patient freeing bedsso localhospitalscan focus covid19live 1408 char
1,SCIENCE,name,warns young people dying coronavirus official world health organization said friday seeing case young people dying coronavirus seeing younger individual exper official world health organization whosaid friday areseeing case young people dying coronaviruswe seeing younger individual experiencing severe disease maria van kerkhove head who 1713 char
2,POLITICS,name,nj governor order flag across state lowered halfstaff indefinitely life lost coronavirus new jersey gov phil murphy signed executive order friday directing flag state lowered halfstaff indefinitely honor life lost coronavirus pandemic new jersey gov phil murphy signed executive order friday directing flag state lowered halfstaff indefinitely honor life lost coronavirus pandemicthis one greatest tragedy ever hit stat 1287 char
3,POLITICS,name,florida reporter say blocked gov desantiss coronavirus press briefing florida reporter bureau operated two state largest newspaper say denied access press conference given gov ron desantis r coronavirus effort statemary ellen klas florida reporter bureau operated two state largest newspaper say denied access press conference given gov ron desantisronald dion desantis16 thing know today coronavirusflorida governor announces mandatory 14 4773 char
4,POLITICS,name,hill coronavirus report nato deputy secretary general geoan say alliance must fight disinformation campaign bad actor senate pas relief bill today senate expected pas relief bill today trump sign executive order halting immigration u maryland gov larry hogan buy 500000 testing kit south korea shrug trump criticism georgia governor opening gym barber shop massage e view breaking news coronavirus need know today gt senate passage relief bill expected todaygt trump sign executive order halting immigration usgt georgia set reopen friday atlanta mayor perplexed movegt 18562 char
5,GENERAL,name,doctor criticized hospital measure coronavirus fired washington state emergency room doctor spoke called lack protective measure implemented coronavirus hospital fired washington state emergency room doctor spoke called lack protective measure implemented coronavirus hospital fireddr ming lin wrote facebook post friday terminated hi 2717 char
6,POLITICS,name,michelle obama encourages inperson wisconsin voter prioritize safety former first lady michelle obama tuesday encouraged wisconsin resident prioritize safety safety others voting person amid ongoing coronavirus outbreak former first lady michelle obamamichelle levaughn robinson obamalizzo donates lunch hospital worker battling coronavirusbiden could picking next president vp choice important everlobbying worldmore tuesday encouraged wisconsin residen 3696 char
7,SCIENCE,name,space force launch first mission u space force conducted first launch thursday sending military communication satellite orbitat 418 pm united launch alliance ula atlas v rocket blasted sixth advanced extremely high u space force conducted first launch thursday sending military communication satellite orbita united launch alliance ula atlas v rocket blasted sixth advanced extremely high frequency aehf satellite space cape canavera 2393 char
8,POLITICS,name,malaysian government warned woman sarcastic husband coronavirus lockdown malaysian government warned woman sarcastic husband asking help household chore coronavirus lockdown request sparked debate tuesdayma malaysian government warned woman sarcastic husband asking help household chore coronavirus lockdown request sparked debate tuesdaymalaysias ministry woman family community development pro 2096 char
9,GENERAL,name,animal hospital vet school send ventilator hospital amid shortage animal hospital veterinary school sending critically needed ventilator hospital facing supply shortage amid coronavirus outbreak although institution use equipment animal hospital veterinary school sending critically needed ventilator hospital facing supply shortage amid coronavirus outbreakalthough institution use equipment treat animal vet say ventilator use sam 2478 char
10,SCIENCE,name,gottlieb let say fall wish wed done spring former fda commissioner scott gottlieb said official immediate focus developing drug treat coronavirus risk wishing done wed taken certain former fda commissioner scott gottlieb said official immediate focus developing drug treat coronavirus risk wishing doneif wed taken certain step winter recognized coronavirus characteristi 1949 char
11,GENERAL,name,india thailand germany warn punishment coronavirus misinformation april fool day several nation including thailand germany india warned spreading coronavirusrelated misinformation april fool day country threatening jail time perpetrator several nation including thailand germany india warned spreading coronavirusrelated misinformation april fool day country threatening jail time forperpetratorsthai official announced tuesday joke could ca 2182 char
12,POLITICS,name,kathy griffin say trump lying coronavirus testing cant get tested comedian kathy griffin wednesday accused president trump lying accessibility coronavirus test saying couldnt get tested hospital federal restriction despite showing u comedian kathy griffin wednesday accused president trumpdonald john trumpnorth korea asking aid denying coronavirus case reportiranian official maintains tehran knowledge american hostage whereaboutsunemployment claim surge 2249 char
13,SCIENCE,name,probable coronavirus death included cdc total center disease control prevention cdc announced week would begin including probable case coronavirus count disease case usciting statement council state center disease control prevention cdc announced week would begin including probable case coronavirus count disease case usciting statement thecouncil state territorial epidemiolog 1445 char
14,GENERAL,name,actress evangeline lilly apologizes dismissive arrogant coronavirus message refusing selfisolation actress evangeline lilly apologized called insensitivity showed earlier month initially refusing selfquarantine ongoing coronavirus pandemic saying doin actress evangeline lilly apologized forwhat called insensitivity showed earlier month initially refusing selfquarantine ongoing coronavirus pandemic saying part flatten curve practicing soci 2605 char
15,GENERAL,name,four coalition troop afghanistan test positive coronavirus four troop usled nato coalition afghanistan tested positive coronavirus official announced tuesday marking first confirmed case among service member wartorn countryresolute four troop usled nato coalition afghanistan tested positive coronavirus official announced tuesday marking first confirmed case among service member wartorn countryresolute support identify nationality 3325 char
16,GENERAL,name,florida sheriff asks new lead disappearance carole baskins former husband netflixs tiger king drop sheriff hillsborough county florida asking public lead 1997 disappearance millionaire lewis former husband carole baskin popular tiger king docuseries netflix p sheriff hillsborough county florida asking public lead 1997 disappearance millionaire lewis former husband carole baskin popular tiger king docuseries netflix prompted question online cold 3667 char
17,BUSINESS,name,coalition petition epa disclosure agency ok suspension environmental monitoring coalition environmental group petitioning environmental protection agency epa stringent disclosure following memo agency allows company suspend monitoring pollution coalition environmental group petitioning environmental protection agency epa stringent disclosure following memo agency allows company suspend monitoring pollution pandemica directive issued 3351 char
18,BUSINESS,name,nearly 80 airline cut capacity 100 percent coronavirus majority airline worldwide cut capacity 100 percent result coronavirus shutting travel grounding flightsof 153 carrier 78 announced capacity cut 100 percent majority airline worldwide cut capacity 100 percent result coronavirus shutting travel grounding flightsof 153 carrier 78 announced capacity cut 100 percent additionally almost 85 percent airline 3394 char
19,BUSINESS,name,new bill would withhold pay senate coronavirus stimulus package pass sen martha mcsally rariz introduced legislation would withhold pay senate member chamber pass coronavirus stimulus package response national outbreakif american arent sen martha mcsallymartha elizabeth mcsallysenate gop super pac book million fall adspolitics pandemic republican rightly worriednrsc outraises dscc februarymore rariz introduced legislation would withhold pay 2378 char
